Family,Feature,Expected,MatlabBuiltinValue,AbsDiff,RelDiffPct,TolerancePct,Status,BuiltinUsed,Note
GLCM,GLCM_CONTRAST,1444.81302083333,1444.81302083333,2.27373675443232e-13,1.57372388097727e-14,5,PASS,Nyxus binning + graycomatrix + graycoprops Contrast,MATLAB-defined GLCM contrast after Nyxus test discretization
GLCM,GLCM_CORRELATION,0.0100955244300025,0.0100955244300025,3.46944695195361e-18,3.43661884631064e-14,5,PASS,Nyxus binning + graycomatrix + graycoprops Correlation,MATLAB-defined GLCM correlation after Nyxus test discretization
GLCM,GLCM_ASM,0.287673611111111,0.287673611111111,0,0,5,PASS,Nyxus binning + graycoprops Energy,MATLAB Energy is angular second moment after Nyxus test discretization
GLCM,GLCM_ENERGY,0.287673611111111,0.287673611111111,0,0,5,PASS,Nyxus binning + graycoprops Energy,Nyxus names this output ENERGY/ASM in 2D tests
GLCM,GLCM_HOM1,0.51027480278492,0.51027480278492,0,0,5,PASS,Nyxus binning + graycoprops Homogeneity,MATLAB homogeneity after Nyxus test discretization
GLCM,GLCM_CONTRAST_AVE,1444.81302083333,1444.81302083333,2.27373675443232e-13,1.57372388097727e-14,5,PASS,Nyxus binning + graycomatrix + graycoprops Contrast,MATLAB-defined averaged GLCM contrast after Nyxus test discretization
GLCM,GLCM_CORRELATION_AVE,0.0100955244300025,0.0100955244300025,3.46944695195361e-18,3.43661884631064e-14,5,PASS,Nyxus binning + graycomatrix + graycoprops Correlation,MATLAB-defined averaged GLCM correlation after Nyxus test discretization
GLCM,GLCM_ASM_AVE,0.287673611111111,0.287673611111111,0,0,5,PASS,Nyxus binning + graycoprops Energy,MATLAB averaged Energy is angular second moment after Nyxus test discretization
GLCM,GLCM_ENERGY_AVE,0.287673611111111,0.287673611111111,0,0,5,PASS,Nyxus binning + graycoprops Energy,Nyxus names this averaged output ENERGY/ASM in 2D tests
GLCM,GLCM_HOM1_AVE,0.51027480278492,0.51027480278492,0,0,5,PASS,Nyxus binning + graycoprops Homogeneity,MATLAB averaged homogeneity after Nyxus test discretization
